23-3259-TS,58,23-3259-TS,43
24-1141,61,25-0773,19
25-2808,34,24-1141,41
25-3119,31,25-2808,45
25-0774,74,25-2898,
25-0776,56,25-3119,35
25-2809,51,25-0774,47
25-3025,41,25-0775,
25-0777,0,25-0776,31
25-2899,83,25-2809,42
25-3300-TS,40,25-3025,34
25-3168,50,24-2110,49
21-0326,57,25-0777,43
25-2810,52,25-2899,41
25-2811,54,25-3300-TS,22
24-2481,43,25-3168,39
25-0888,100,21-0326,34
25-2812,33,25-2810,45
25-0779,69,24-2796,38
25-2813,47,25-2811,48
25-2814,58,24-2481,40
25-3171-TS,40,25-0888,48
25-0721,61,25-2812,36
25-2892,51,25-0779,44
25-2815,62,25-3154,38
25-2816,65,25-2813,44
25-0780,69,25-2814,36
25-2817,78,25-3171-TS,31
24-1618,80,25-3144,31
23-2813,46,25-0721,40
25-2976,0,25-2892,37
25-2977,46,25-3156,25
25-2818,0,25-2815,40
25-2819,65,25-2816,46
25-2820,65,25-0780,46
25-2821,52,25-2817,46
25-0781,87,24-1618,46
25-2978,29,23-2813,30
25-2822,60,24-3185-TS,32
,,25-2976,40
,,25-2977,41
,,25-2818,34
,,25-2819,45
,,25-2820,46
,,25-2821,44
,,25-3135,27
,,25-3306-C3,30
,,25-3257,40
,,25-3133,
,,25-0781,41
,,25-2978,41
,,25-2822,39
,,25-3132,30
