Student_ID,Discrete_Score,Intermediate_Score
23-3259-TS,58,43
24-1141,61,41
25-2808,34,45
25-3119,31,35
25-0774,74,47
25-0776,56,31
25-2809,51,42
25-3025,41,34
25-2899,83,41
25-3300-TS,40,22
25-3168,50,39
21-0326,57,34
25-2810,52,45
25-2811,54,48
24-2481,43,40
25-0888,100,48
25-2812,33,36
25-0779,69,38
25-2813,47,44
25-2814,58,36
25-3171-TS,40,31
25-0721,61,40
25-2892,51,37
25-2815,62,40
25-2816,65,46
25-0780,69,46
25-2817,78,46
24-1618,80,46
23-2813,46,30
25-2977,46,41
25-2819,65,45
25-2820,65,46
25-2821,52,44
25-0781,87,41
25-2978,29,41
25-2822,60,39
