program,student_num,lec_score,lab_score
CS,25-2547,45,100
CS,25-0889,42,100
CS,25-0890,61,100
CS,25-2198,31,100
CS,25-2870,57,100
CS,25-0892,56,100
CS,25-0893,59,100
CS,25-0894,76,100
CS,25-0895,65,100
CS,25-2805,53,100
CS,25-0897,79,100
CS,25-2806,69,100
CS,25-0896,80,100
CS,25-0898,87,100
CS,23-0718,0,0
CS,24-2121,54,0
CS,25-0899,84,100
CS,25-2548,60,100
CS,25-0900,65,100
CS,25-0901,60,100
CS,25-0902,58,100
CS,25-0903,73,100
CS,25-2807,73,100
CS,25-2549,48,100
CS,25-0905,44,100
CS,25-2550,63,100
CS,25-0906,72,100
CS,25-0907,39,100
CS,25-0908,55,100
CS,25-0909,68,100
CS,25-0910,77,100
CS,25-0911,42,100
CS,25-0912,55,100
CS,25-0913,37,100
CS,25-2551,56,100
CS,25-0914,61,100
CS,25-0915,56,100
CS,25-0916,35,100
CS,25-0917,66,100
CS,25-2552,45,100
CS,25-0918,83,100
CS,25-0920,54,100
CS,25-0921,84,100
CS,24-0715,58,100
CS,25-0922,58,100
CS,25-0923,52,100
CS,24-2140,0,0
CS,25-3081,55,100
CS,25-2869,50,100
CS,25-0925,74,100
CS,25-0926,44,100
CS,24-2147,36,0
DSA,23-3259-TS,58,100
DSA,24-1141,61,100
DSA,25-2808,34,0
DSA,25-3119,31,0
DSA,25-0774,74,100
DSA,25-0776,56,100
DSA,25-2809,51,100
DSA,25-3025,41,100
DSA,25-0777,0,0
DSA,25-2899,83,100
DSA,25-3300-TS,40,100
DSA,25-3168,50,100
DSA,21-0326,57,0
DSA,25-2810,52,100
DSA,25-2811,54,0
DSA,24-2481,43,100
DSA,25-0888,100,100
DSA,25-2812,33,0
DSA,25-0779,69,100
DSA,25-2813,47,100
DSA,25-2814,58,100
DSA,25-3171-TS,40,100
DSA,25-0721,61,100
DSA,25-2892,51,100
DSA,25-2815,62,100
DSA,25-2816,65,100
DSA,25-0780,69,100
DSA,25-2817,78,100
DSA,24-1618,80,100
DSA,23-2813,46,0
DSA,25-2976,0,0
DSA,25-2977,46,0
DSA,25-2818,0,0
DSA,25-2819,65,100
DSA,25-2820,65,100
DSA,25-2821,52,100
DSA,25-0781,87,100
DSA,25-2978,29,0
DSA,25-2822,60,100
