"row_id","variable","value","iqr_lower_fence","iqr_upper_fence","iqr_flag","extreme_flag","modified_z","modz_flag"
60,"math_score",0,27,107,TRUE,FALSE,-4.4517,TRUE
981,"math_score",8,27,107,TRUE,FALSE,-3.9121,TRUE
18,"math_score",18,27,107,TRUE,FALSE,-3.2376,FALSE
788,"math_score",19,27,107,TRUE,FALSE,-3.1702,FALSE
146,"math_score",22,27,107,TRUE,FALSE,-2.9678,FALSE
843,"math_score",23,27,107,TRUE,FALSE,-2.9004,FALSE
339,"math_score",24,27,107,TRUE,FALSE,-2.8329,FALSE
467,"math_score",26,27,107,TRUE,FALSE,-2.698,FALSE
60,"reading_score",17,29,109,TRUE,FALSE,-3.5748,TRUE
328,"reading_score",23,29,109,TRUE,FALSE,-3.1702,FALSE
597,"reading_score",24,29,109,TRUE,FALSE,-3.1027,FALSE
981,"reading_score",24,29,109,TRUE,FALSE,-3.1027,FALSE
77,"reading_score",26,29,109,TRUE,FALSE,-2.9678,FALSE
212,"reading_score",28,29,109,TRUE,FALSE,-2.8329,FALSE
60,"writing_score",10,25.88,110.88,TRUE,FALSE,-3.6178,TRUE
597,"writing_score",15,25.88,110.88,TRUE,FALSE,-3.3112,FALSE
328,"writing_score",19,25.88,110.88,TRUE,FALSE,-3.0659,FALSE
77,"writing_score",22,25.88,110.88,TRUE,FALSE,-2.882,FALSE
981,"writing_score",23,25.88,110.88,TRUE,FALSE,-2.8206,FALSE
