"row_id","math_original","math_winsorized","math_changed","reading_original","reading_winsorized","reading_changed","writing_original","writing_winsorized","writing_changed"
18,18,27,TRUE,32,32,FALSE,28,28,FALSE
60,0,27,TRUE,17,29,TRUE,10,25.875,TRUE
77,30,30,FALSE,26,29,TRUE,22,25.875,TRUE
146,22,27,TRUE,39,39,FALSE,33,33,FALSE
212,35,35,FALSE,28,29,TRUE,27,27,FALSE
328,28,28,FALSE,23,29,TRUE,19,25.875,TRUE
339,24,27,TRUE,38,38,FALSE,27,27,FALSE
467,26,27,TRUE,31,31,FALSE,38,38,FALSE
597,30,30,FALSE,24,29,TRUE,15,25.875,TRUE
788,19,27,TRUE,38,38,FALSE,32,32,FALSE
843,23,27,TRUE,44,44,FALSE,36,36,FALSE
981,8,27,TRUE,24,29,TRUE,23,25.875,TRUE
